recipe_id,name,author,prep_time,cook_time,total_time,servings,url,prep_time_extracted,cook_time.1,total_time.1,servings.1,yield
23,Cheese Puff Sliders,John Mitzewich,"Prep Time:
40 mins
Cook Time:
25 mins
Cool Time:
20 mins
Rest Time:
5 mins
Total Time:
1 hr 30 mins
Servings:
6
Yield:
12 sliders",,,,https://www.allrecipes.com/cheese-puff-sliders-recipe-8768983,40 mins,25 mins,20 mins,5 mins,1 hr 30 mins
24,Minestrone Casserole,Sarah Brekke,"Prep Time:
20 mins
Cook Time:
40 mins
Total Time:
1 hr
Servings:
8",,,,https://www.allrecipes.com/minestrone-casserole-recipe-8765618,20 mins,40 mins,1 hr,8,
25,17 Easy No-Bake Cookies to Make With Your Kids,Katherine Martinelli,,,,,https://www.allrecipes.com/best-no-bake-cookies-8731621,,,,,
26,Creamy Chicken Piccata Pasta Bake,Juliana Hale,"Prep Time:
15 mins
Cook Time:
50 mins
Total Time:
1 hr 5 mins
Servings:
8",,,,https://www.allrecipes.com/creamy-chicken-piccata-pasta-bake-recipe-8769276,15 mins,50 mins,1 hr 5 mins,8,
27,The Greatest Apple Crisp,ChloeMo,"Prep Time:
15 mins
Cook Time:
1 hr 15 mins
Total Time:
1 hr 30 mins
Servings:
10
Yield:
1 9x13-inch baking pan",,,,https://www.allrecipes.com/recipe/260271/the-greatest-apple-crisp/,15 mins,1 hr 15 mins,1 hr 30 mins,10,1 9x13-inch baking pan
28,Kale and Roasted Delicata Squash Salad with Pomegranate Vinaigrette,Brenda Venable,"Prep Time:
30 mins
Cook Time:
20 mins
Total Time:
50 mins
Servings:
4",,,,https://www.allrecipes.com/kale-and-roasted-delicata-squash-salad-with-pomegranate-vinaigrette-recipe-8780013,30 mins,20 mins,50 mins,4,
29,Copycat Chick-fil-A Chicken Tortilla Soup,Nicole Russell,"Prep Time:
10 mins
Cook Time:
10 mins
Total Time:
20 mins
Servings:
5",,,,https://www.allrecipes.com/copycat-chick-fil-a-chicken-tortilla-soup-recipe-8768430,10 mins,10 mins,20 mins,5,
30,Smashed Chicken Parmesan Texas Toast,Nicole McLaughlin,"Prep Time:
5 mins
Cook Time:
10 mins
Total Time:
15 mins
Servings:
8",,,,https://www.allrecipes.com/smashed-chicken-parmesan-texas-toast-recipe-8778198,5 mins,10 mins,15 mins,8,
31,Chinese Braised Pork Belly,Andrea Nguyen,"Prep Time:
15 mins
Cook Time:
2 hrs 25 mins
Total Time:
2 hrs 40 mins
Servings:
12
Yield:
24 pieces",,,,https://www.allrecipes.com/recipe/262309/chinese-braised-pork-belly/,15 mins,2 hrs 25 mins,2 hrs 40 mins,12,24 pieces
32,Blackout Cake,Amanda Holstein,"Prep Time:
40 mins
Cook Time:
20 mins
Cool Time:
45 mins
Chill Time:
30 mins
Total Time:
2 hrs 15 mins
Servings:
12",,,,https://www.allrecipes.com/blackout-cake-recipe-8762039,40 mins,20 mins,45 mins,30 mins,2 hrs 15 mins
33,Sheet Pan Chicken Alfredo Lasagna,Nicole McLaughlin,"Prep Time:
15 mins
Cook Time:
35 mins
Total Time:
50 mins
Servings:
8",,,,https://www.allrecipes.com/sheet-pan-chicken-alfredo-lasagna-recipe-8772256,15 mins,35 mins,50 mins,8,
34,Copycat Chili Crisp Shrimp,Emily Nienhaus,"Prep Time:
20 mins
Cook Time:
15 mins
Total Time:
35 mins
Servings:
4",,,,https://www.allrecipes.com/copycat-chili-crisp-shrimp-recipe-8732545,20 mins,15 mins,35 mins,4,
35,Sheet Pan Lemon Balsamic Chicken and Potatoes,Nicole Russell,"Prep Time:
20 mins
Cook Time:
30 mins
Total Time:
50 mins
Servings:
4",,,,https://www.allrecipes.com/sheet-pan-lemon-balsamic-chicken-and-potatoes-recipe-8769182,20 mins,30 mins,50 mins,4,
36,Italian Ricotta Cookie Bars,Kim,"Prep Time:
15 mins
Cook Time:
30 mins
Cool Time:
30 mins
Total Time:
1 hr 15 mins
Servings:
16
Yield:
16 cookie bars",,,,https://www.allrecipes.com/italian-ricotta-cookie-bars-recipe-8775003,15 mins,30 mins,30 mins,1 hr 15 mins,16
37,Carbonara Beans,Sarah Brekke,"Prep Time:
5 mins
Cook Time:
15 mins
Total Time:
20 mins
Servings:
4",,,,https://www.allrecipes.com/carbonara-beans-recipe-8767242,5 mins,15 mins,20 mins,4,
38,One Pan Dumpling Dinner,Nicole McLaughlin,"Prep Time:
10 mins
Cook Time:
25 mins
Total Time:
35 mins
Servings:
4",,,,https://www.allrecipes.com/one-pan-dumpling-dinner-8774252,10 mins,25 mins,35 mins,4,
39,Spicy Potsticker Soup,John Mitzewich,"Prep Time:
15 mins
Cook Time:
15 mins
Total Time:
30 mins
Servings:
4",,,,https://www.allrecipes.com/spicy-potsticker-soup-recipe-8777981,15 mins,15 mins,30 mins,4,
40,Mediterranean Salmon Baked in Parchment,TheDailyGourmet,"Prep Time:
15 mins
Cook Time:
45 mins
Total Time:
1 hr
Servings:
2",,,,https://www.allrecipes.com/mediterranean-salmon-baked-in-parchment-recipe-8768509,15 mins,45 mins,1 hr,2,
41,Guavarita (Guava Margarita),Yolanda Gutierrez,"Prep Time:
5 mins
Total Time:
5 mins
Servings:
1",,,,https://www.allrecipes.com/guavarita-guava-margarita-recipe-8780541,5 mins,5 mins,1,,
42,Andrea's Steamed Buns,Andrea Nguyen,"Prep Time:
40 mins
Cook Time:
20 mins
Additional Time:
1 hr 10 mins
Total Time:
2 hrs 10 mins
Servings:
24
Yield:
24 buns",,,,https://www.allrecipes.com/recipe/262307/andreas-steamed-buns/,40 mins,20 mins,1 hr 10 mins,2 hrs 10 mins,24
43,Cowboy Queso,Nicole Russell,"Prep Time:
10 mins
Cook Time:
20 mins
Total Time:
30 mins
Servings:
8",,,,https://www.allrecipes.com/cowboy-queso-recipe-8778688,10 mins,20 mins,30 mins,8,
44,Italian Wedding Pasta Bake,Sarah Brekke,"Prep Time:
15 mins
Cook Time:
45 mins
Stand Time:
10 mins
Total Time:
1 hr 10 mins
Servings:
8",,,,https://www.allrecipes.com/italian-wedding-pasta-bake-recipe-8769355,15 mins,45 mins,10 mins,1 hr 10 mins,8
45,Tomato White Bean Soup,Pat Bernitt,"Prep Time:
10 mins
Cook Time:
25 mins
Total Time:
35 mins
Servings:
4",,,,https://www.allrecipes.com/tomato-white-bean-soup-recipe-8776019,10 mins,25 mins,35 mins,4,
46,Parmesan Garlic Pizza Rolls,Nicole McLaughlin,"Prep Time:
5 mins
Cook Time:
15 mins
Total Time:
20 mins
Servings:
4",,,,https://www.allrecipes.com/parmesan-garlic-pizza-rolls-recipe-8758534,5 mins,15 mins,20 mins,4,
47,Chocolate Chip Cookie Millionaire Bars,Tricia Manzanero,"Prep Time:
30 mins
Cook Time:
25 mins
Bake Time:
25 mins
Chill Time:
2 hrs
Total Time:
3 hrs 20 mins
Servings:
24",,,,https://www.allrecipes.com/chocolate-chip-cookie-millionaire-bars-recipe-8764992,30 mins,25 mins,25 mins,2 hrs,3 hrs 20 mins
48,Food Wishes® with Chef John,Unknown,,,,,https://www.allrecipes.com/recipes/16791/everyday-cooking/special-collections/food-wishes/,,,,,
49,Slow Cooker Ground Beef Stroganoff,TheDailyGourmet,"Prep Time:
10 mins
Cook Time:
4 hrs 40 mins
Total Time:
4 hrs 50 mins
Servings:
5",,,,https://www.allrecipes.com/slow-cooker-ground-beef-stroganoff-recipe-8778867,10 mins,4 hrs 40 mins,4 hrs 50 mins,5,
50,Baked Sweet and Sour Chicken Thighs with Pineapple,Pat Bernitt,"Prep Time:
15 mins
Cook Time:
15 mins
Total Time:
30 mins
Servings:
2",,,,https://www.allrecipes.com/baked-sweet-and-sour-chicken-thighs-with-pineapple-recipe-8607437,15 mins,15 mins,30 mins,2,
51,Green Goddess Chicken and Cucumber Wraps,Brenda Venable,"Prep Time:
10 mins
Total Time:
10 mins
Servings:
2",,,,https://www.allrecipes.com/green-goddess-chicken-and-cucumber-wraps-recipe-8768451,10 mins,10 mins,2,,
52,Southwest Chicken Power Salad,Brenda Venable,"Prep Time:
20 mins
Total Time:
20 mins
Servings:
4",,,,https://www.allrecipes.com/southwest-chicken-power-salad-recipe-8778848,20 mins,20 mins,4,,
53,Bang Bang Chicken Bites,Nicole McLaughlin,"Prep Time:
5 mins
Cook Time:
15 mins
Total Time:
20 mins
Servings:
6",,,,https://www.allrecipes.com/bang-bang-chicken-bites-recipe-8778092,5 mins,15 mins,20 mins,6,
54,Whole Orange Blender Cake,Juliana Hale,"Prep Time:
10 mins
Cook Time:
45 mins
Total Time:
55 mins
Servings:
8",,,,https://www.allrecipes.com/whole-orange-blender-cake-recipe-8769291,10 mins,45 mins,55 mins,8,
55,Allrecipes Allstars,Unknown,,,,,https://www.allrecipes.com/recipes/16492/everyday-cooking/special-collections/allrecipes-allstars/,,,,,
56,Chicken Tots,John Mitzewich,"Prep Time:
15 mins
Cook Time:
30 mins
Total Time:
45 mins
Servings:
4",,,,https://www.allrecipes.com/chicken-tots-recipe-8772888,15 mins,30 mins,45 mins,4,
57,Overnight Baked Oatmeal,Emily Nienhaus,"Prep Time:
15 mins
Cook Time:
45 mins
Refrigerate Time:
8 hrs
Stand Time:
10 mins
Total Time:
9 hrs 10 mins
Servings:
6",,,,https://www.allrecipes.com/overnight-baked-oatmeal-recipe-8769199,15 mins,45 mins,8 hrs,10 mins,9 hrs 10 mins
58,One Pan Balsamic Chicken,TheDailyGourmet,"Prep Time:
10 mins
Cook Time:
30 mins
Total Time:
40 mins
Servings:
4",,,,https://www.allrecipes.com/one-pan-balsamic-chicken-recipe-8780488,10 mins,30 mins,40 mins,4,
59,Broccoli and Cheese Rice Casserole With Garlic Pretzel Topping,Taryn Camp,"Prep Time:
25 mins
Cook Time:
30 mins
Total Time:
55 mins
Servings:
8",,,,https://www.allrecipes.com/broccoli-and-cheese-rice-casserole-with-garlic-pretzel-topping-recipe-8775000,25 mins,30 mins,55 mins,8,
60,Salmon Sushi Bake,Nicole McLaughlin,"Prep Time:
20 mins
Cook Time:
35 mins
Cool Time:
15 mins
Total Time:
1 hr 10 mins
Servings:
8",,,,https://www.allrecipes.com/salmon-sushi-bake-recipe-8765434,20 mins,35 mins,15 mins,1 hr 10 mins,8
61,No Bake Espresso Martini Cheesecakes,Nicole McLaughlin,"Prep Time:
20 mins
Cook Time:
5 mins
Total Time:
25 mins
Servings:
6",,,,https://www.allrecipes.com/no-bake-espresso-martini-cheesecakes-recipe-8777811,20 mins,5 mins,25 mins,6,
62,Roman-Style Pizza,John Mitzewich,"Prep Time:
30 mins
Cook Time:
45 mins
Refrigerate Time:
2 days
Rest Time:
45 mins
Stand Time:
1 hr
Cool Time:
25 mins
Total Time:
2 days 3 hrs
Servings:
12",,,,https://www.allrecipes.com/roman-style-pizza-recipe-8771243,30 mins,45 mins,2 days,45 mins,1 hr
63,Hot Honey Salmon Bowls,Emily Nienhaus,"Prep Time:
20 mins
Cook Time:
20 mins
Total Time:
40 mins
Servings:
2",,,,https://www.allrecipes.com/hot-honey-salmon-bowls-recipe-8765623,20 mins,20 mins,40 mins,2,
64,Coconut Lime Fish Soup,Shelia Johnson,"Prep Time:
10 mins
Cook Time:
30 mins
Total Time:
40 mins
Servings:
6",,,,https://www.allrecipes.com/coconut-lime-fish-soup-recipe-8776064,10 mins,30 mins,40 mins,6,
65,Loaded Cheeseburger Waffle Fry Bake,Taryn Camp,"Prep Time:
25 mins
Cook Time:
55 mins
Total Time:
1 hr 20 mins
Servings:
8",,,,https://www.allrecipes.com/loaded-cheeseburger-waffle-fry-bake-recipe-8775015,25 mins,55 mins,1 hr 20 mins,8,
66,Miso Aioli,Pat Bernitt,"Prep Time:
5 mins
Total Time:
5 mins
Servings:
8",,,,https://www.allrecipes.com/miso-aioli-recipe-8768230,5 mins,5 mins,8,,
67,Cottage Cheese Blueberry Breakfast Cake,"Kathryn Hendrix, RDN, LD","Prep Time:
15 mins
Cook Time:
1 hr
Cool Time:
10 mins
Total Time:
1 hr 25 mins
Servings:
10
Yield:
1 loaf cake",,,,https://www.allrecipes.com/cottage-cheese-blueberry-breakfast-cake-recipe-8767179,15 mins,1 hr,10 mins,1 hr 25 mins,10
68,Honey Mustard Spaghetti,Nicole McLaughlin,"Prep Time:
20 mins
Cook Time:
25 mins
Total Time:
45 mins
Servings:
4 to 6",,,,https://www.allrecipes.com/honey-mustard-spaghetti-recipe-8760484,20 mins,25 mins,45 mins,4 to 6,
69,12 Classic Greek Diner Recipes,Carl Hanson,,,,,https://www.allrecipes.com/gallery/classic-greek-diner-recipes/,,,,,
70,Holidays and Events,Unknown,,,,,https://www.allrecipes.com/recipes/85/holidays-and-events/,,,,,
71,Chef John's Best Recipes for the Mediterranean Diet,Carl Hanson,,,,,https://www.allrecipes.com/gallery/chef-johns-best-recipes-for-the-mediterranean-diet/,,,,,
72,Skillet Garlic Knot Chicken,Melissa Gray,"Prep Time:
10 mins
Cook Time:
15 mins
Total Time:
25 mins
Servings:
4 (serving size: 1 cutlet, 2 Tbsp. sauce)",,,,https://www.allrecipes.com/skillet-garlic-knot-chicken-recipe-8762106,10 mins,15 mins,25 mins,"4 (serving size: 1 cutlet, 2 Tbsp. sauce)",
73,Creamy Tuscan White Bean Skillet,Sarah Brekke,"Prep Time:
10 mins
Cook Time:
15 mins
Total Time:
25 mins
Servings:
4",,,,https://www.allrecipes.com/creamy-tuscan-white-bean-skillet-recipe-8769362,10 mins,15 mins,25 mins,4,
74,Grinder Bean Salad,Pat Bernitt,"Prep Time:
15 mins
Total Time:
15 mins
Servings:
5",,,,https://www.allrecipes.com/grinder-bean-salad-recipe-8775997,15 mins,15 mins,5,,
75,Recipes A-Z,Unknown,,,,,https://www.allrecipes.com/recipes-a-z-6735880,,,,,
