Recipe_ID,Cuisine,Recipe_Name,Description
57,caribbean-recipes,tropical-breakfast-smoothie,"Start your day with this fruity blend of passion fruits, mango, orange and banana. It's a good source of vitamin C and provides 1 of your 5-a-day, too"
58,caribbean-recipes,jerk-chicken-kebabs-mango-salsa,A simple colourful way with chicken that is packed with goodness
59,caribbean-recipes,reggae-reggae-nachos,"These nachos are a great crowd-pleaser, perfect for sharing with friends over a cocktail"
60,caribbean-recipes,simple-coconut-bean-soup,This vegetarian meal in a bowl shows how something delicious can be made from mostly storecupboard ingredients
61,caribbean-recipes,natalies-trinidadian-fish-stew,This dish of Caribbean sunshine is perfect for sharing with friend - make sure you marinate the fish in lemon and lime to get a really zingy taste
62,caribbean-recipes,hot-spicy-sweet-potatoes,Tantalise your buds with hot and spicy sweet potatoes
63,caribbean-recipes,barbecued-plantains,Cook perfect plantains by wrapping them in foil and barbecuing them. This Latin American relative of the banana is delicious in sweet and savoury dishes.
64,caribbean-recipes,jerk-pork-rice-beans,"A speedy version of a Jamaican pork jerk favourite - loads of flavour, not too spicy"
65,caribbean-recipes,sizzling-spare-ribs-bbq-sauce,"Some like it hot, so sizzle your ribs with BBQ sauce"
66,caribbean-recipes,exotic-avocado-salad,"Savour sharp, sweet flavours in this exotic avocado salad"
67,caribbean-recipes,jerk-pulled-pork-banana-salsa,The perfect party sharing dish is spiced up with Caribbean seasoning and served with a fruity coarse salsa
68,caribbean-recipes,spicy-jerk-prawn-mango-tacos-coconut-dressing,"Use Caribbean-style jerk paste to marinade shellfish, then serve in crunchy corn tacos with a textured salad and light sauce"
69,caribbean-recipes,sticky-jerk-brown-sugar-ribs-pineapple-rice,Stacks of pork ribs make an alternative to chicken in this Caribbean feast with sticky marinade and fruity basmati accompaniment
70,caribbean-recipes,jerk-spice-mix,This combination of Caribbean spices creates a sweet and fiery flavour - you can add Scotch bonnet chilli to make it super spicy
71,jerk-chicken-recipes,jerk-chicken,Succulent chicken thighs covered with jerk paste and simply roasted in the oven - perfect served with Caribbean rice & peas
74,jerk-chicken-recipes,jerk-chicken-burger,"Flavour lean chicken with Jamaican-inspired spicy seasoning, griddle then and serve in a bread roll with mango, tomato, lettuce and sauce"
75,jerk-chicken-recipes,jerk-chicken-pineapple-traybake,"A great chicken dish, full of flavour with jerk seasoning, pineapple and sweet potato, served with rice and black beans. Ideal for a family feast"
76,jerk-chicken-recipes,jerk-chicken-mango-bowl,A fruity chicken salad with lentils and spice to make lunchtimes worth taking a break for
77,jerk-chicken-recipes,one-pan-jerk-roast-chicken,"Add some spice to your Sunday lunch by marinating your bird, then use the juices to create a coconut veggie curry to serve alongside"
78,jerk-chicken-recipes,jerk-pork-pineapple-skewers-black-beans-rice,Pop these healthy kebabs on a griddle or the BBQ – they're packed with Creole spices and are a lean treat
80,chinese-recipes,mushroom-mapo-tofu,Enjoy this plant-based version of Chinese mapo tofu served with jasmine rice and steamed greens. Meaty shitake mushrooms and firm tofu make a great combo
81,chinese-recipes,sweet-sour-chicken,"Try an authentic version of this classic Chinese takeaway dish, with natural sweetness and a warm chilli flavour to spice things up"
82,chinese-recipes,crispy-sesame-chicken,"Love sweet and sour chicken? You’ll love this dish, with crispy chicken thigh pieces tossed in a sticky, sweet and savoury sauce"
83,chinese-recipes,sichuan-chicken,"With succulent chicken, umami notes and fiery heat from Sichuan peppercorns and chillies, this will be a crowd-pleaser"
84,chinese-recipes,orange-chicken,"Serve crispy chicken fillets in a quick orange sauce, on a bed of shredded iceberg lettuce"
85,chinese-recipes,air-fryer-salt-pepper-chicken,"Make this salt and pepper chicken in your air fryer for an easy midweek meal for the whole family. Serve with rice, spring onions and soy sauce"
86,chinese-recipes,slow-cooker-gochujang-short-ribs-with-apple-slaw,"Tuck into gochujang short ribs for a comforting winter warmer. With slow-cooked tender, juicy meat and tangy apple slaw, it’s perfect for relaxed entertaining"
87,chinese-recipes,gobi-manchurian,"Treat friends or family to this popular Indo-Chinese starter where crispy cauliflower florets are tossed in a hot, sweet and sour sauce"
88,chinese-recipes,stir-fried-beef-with-ginger,Forget a takeaway – make this beef and green pepper stir-fry with fragrant lemongrass and ginger instead. Marinate the beef while you prep the other ingredients
89,chinese-recipes,duck-in-plum-sauce-chinese-style,Try our take on a beloved Chinese takeaway dish – it's easier to recreate at home than you might think. Enjoy with steamed rice or on its own with stir-fried greens
90,chinese-recipes,lionhead-meatball-soup,"Enjoy these Shanghai-style mini 'lionhead' meatballs in a rich, earthy and sweet broth made with Chinese leaf and dried shiitake mushrooms"
91,chinese-recipes,slow-roast-five-spice-pork-belly-gravy,Take a simple dinner shortcut for aromatic pork with Chinese five spice. Its blend of spices such as cinnamon and Sichuan peppercorns make a flavour-packed dish.
92,chinese-recipes,five-spice-powder,"An ancient spice mix used in Chinese cooking that combines sweet cinnamon and cloves, fennel seeds and star anise, and tongue-tingling Sichuan pepper"
93,chinese-recipes,singapore-noodles-prawns,"This low-fat, low-calorie version of your favourite stir-fried takeaway will be ready in 20 minutes and is packed with prawns and plenty of flavour"
94,chinese-recipes,rainbow-fried-rice-with-prawns-fried-eggs,Encourage kids to get creative in the kitchen with our rainbow fried rice recipe – it's been designed to be easy for children to follow
95,chinese-recipes,braised-shiitake-mushrooms-pak-choi,"Start your Lunar New Year celebrations with this dish of vegetables made with shiitake mushrooms, pak choi, ginger, garlic and oyster sauce"
96,chinese-recipes,healthy-chicken-stir-fry,"Make this nutritious, veg-packed stir-fry when you need dinner fast – and if you like a hit of spice, add some chilli to the rich peanut dressing"
97,chinese-recipes,easy-lemon-chicken,"Recreate a classic British Chinese takeaway dish for the home kitchen, with crispy fried chicken breast served with a fresh, tangy and moreish lemon sauce"
98,chinese-recipes,wuxi-ribs,Treat family and friends to a Chinese banquet with these wuxi ribs coated in a sweet and sour sauce. Serve with plain rice and steamed greens
99,chinese-recipes,black-bean-sauce,"Find fermented soy beans in Asian supermarkets or online to make this sauce, then enjoy it in a stir-fry with steamed fish, meat, shellfish or tofu"
100,chinese-recipes,egg-fried-rice,"Make your own healthy egg-fried rice with our easy recipe. Use leftover rice, or cook and dry it on a plate before using so it doesn't stick to the wok"
101,chinese-recipes,sichuan-chicken-wings,"Try these spicy, sticky Sichuan chicken wings at a Chinese banquet. Scatter over chopped peanuts and chilli flakes and serve as a starter or main"
102,chinese-recipes,pork-crab-ants-climbing-trees,Make this delicious Sichuan snack made with pork and crab – its name comes from the minced pork that resembles ants climbing trees.
103,french-recipes,blood-orange-dark-chocolate-madeleines,"Best enjoyed fresh from the oven, these delicate madeleines dipped in dark chocolate and dusted with blood orange powder make a delectable dessert"
104,french-recipes,paris-brest,Indulge in the regal charm of Paris-Brest – a showstopping French dessert featuring a choux pastry ring filled with luxurious hazelnut mousseline
105,french-recipes,flamiche,Try this French dish that’s halfway between a pizza and a quiche. Crème fraîche mixed with cheese and eggs makes a tasty topping along with delicious buttery leeks
106,french-recipes,pain-au-chocolat,"Try your hand at making these popular French breakfast pastries filled with chocolate. They're perfect served with a cup of coffee, or as a mid-morning treat"
107,french-recipes,steak-tartare,"Serve this French classic with fries or a baguette. The dish showcases raw ground beef with shallot, capers and cornichons, topped with a raw egg yolk"
108,french-recipes,pot-roast-beef-french-onion-gravy,"Silverside and topside are cheaper and leaner cuts of meat, well-suited to slow-cooking. The stock and juices make a great sauce when combined with caramelised onions"
109,french-recipes,crusty-baguettes,"Make fresh, French bread at home with this simple recipe - an overnight starter called a poolish gives a golden crust and chewy middle."
110,french-recipes,marmalade-tea-madeleines,"Make these moreish madeleines for afternoon tea. Perfect served with a cuppa, they are made with nutty brown butter and have a lovely tea and toast flavour"
111,french-recipes,financiers,"Treat family and friends to these miniature French almond cakes for afternoon tea, or take along to a coffee morning. Browning the butter adds extra nuttiness"
112,french-recipes,steak-hache-pommes-frites-cheats-bearnaise-sauce,"A classic French recipe of bun-less burger & chips, that can be found in every brasserie and bistro. Kids will love it and it’s easy to create together at home"
113,french-recipes,french-toast,"Eggy bread, pain perdu or French toast – this classic breakfast dish has plenty of names and just as many options for toppings. We like it with fresh berries"
114,french-recipes,macarons,"Edd Kimber, champion of BBC's Great British Bake Off, shares his expert knowledge for baking picture-perfect macarons"
115,french-recipes,baked-ratatouille-goats-cheese,Transform ratatouille into a bake with a layer of cheese sauce and you won't look back. It makes a great late summer dish and delivers three of your 5-a-day
116,french-recipes,croissants,"Follow James Martin's croissant recipe for this French patisserie classic. There's some advanced pastry work involved, but the results are worth it"
117,french-recipes,madeleines,"Rustle up these little French sponges for a bake sale or special treat. They're best eaten warm from the oven, served with coffee or tea"
118,french-recipes,classic-crepes,This basic batter recipe for crêpes and pancakes is a versatile foundation for either sweet or savoury fillings
119,french-recipes,coq-au-vin,"We've made this classic French chicken casserole a little lighter than the traditional version, but it still has a rich, deep flavour"
120,french-recipes,ultimate-french-omelette,"The omelette is one of the most fundamental dishes in any cook's arsenal, and this recipe will teach you how to get it right every time"
121,french-recipes,tarte-tatin,"Dark and sticky caramel, sweet apples and crisp pastry combine to make this heavenly French dessert. And with Raymond Blanc's recipe, you can make it perfectly every time"
122,french-recipes,three-cheese-souffles,"With a double layer of goat's cheese and a coating of cream, these bistro-style bakes are authentically rich"
123,french-recipes,french-onion-soup,Our French onion soup is deliciously rich and easy to make at home. This savoury soup is perfect for using up a garden glut and great for dinner parties
124,french-recipes,chocolate-macaroons,These luxurious little macarons are the perfect light hit when only chocolate will do
125,french-recipes,chocolate-banana-french-toast,An indulgent treat for when you're in need of a sweet fix - chocolate and banana sandwiched in fried bread
126,french-recipes,jacks-pork-cassoulet,"Perfect for using up stray bits and pieces from the fridge, this pork and bean stew is rich, warming and cheap to prepare"
127,greek-recipes,greek-salad,"Make a fresh and colourful Greek salad in no time. It's great with grilled meats at a barbecue, or on its own as a veggie main"
128,greek-recipes,moussaka,"Make our easy moussaka for an instant crowd pleaser. This classic Greek dish of layered thinly sliced potato, aubergine and lamb is topped with a creamy béchamel sauce."
129,greek-recipes,crispy-greek-style-pie,A crispy Greek-style spinach and feta filo pie that you can adapt for your needs. This simple spanakopita recipe uses just five ingredients.
130,greek-recipes,tzatziki,Make our simple tzatziki sauce. This fresh and simple Greek dip is perfect served with toasted pitta bread for a party platter or served with slow roast lamb
131,greek-recipes,lamb-kleftiko,"Seal a leg of lamb in a parcel then roast it long and slow with garlic, lemon, herbs and potatoes to soak up the delicious juices"
132,greek-recipes,greek-style-salad-dressing,"Combine oil, vinegar and lemon juice with garlic and oregano to make this easy dressing – it's not traditional, but we've also added Dijon mustard for a bit of mellow heat"
133,greek-recipes,chicken-gyros,"Marinate the chicken for these Greek-style spiced kebabs as long as possible to soak up all the flavour and make it really tender. Serve with warm bread, salad and tzatziki"
134,greek-recipes,artichoke-aubergine-lamb-moussaka,"A lightly spiced lamb bake with artichoke hearts, a cherry tomato ragu and layers of fried aubergine and potato"
135,greek-recipes,greek-style-roast-fish,"Oven-bake white fish fillets with potatoes, tomatoes and herbs for a healthy and gluten-free weeknight dinner"
136,greek-recipes,vegetarian-pastitsio,"In our veggie version of this Greek pasta dish, budget-friendly lentils replace the meat and we've used a little balsamic vinegar instead of wine"
137,greek-recipes,next-level-moussaka,"Conjure memories of a Greek holiday with this marvellous make-ahead moussaka, which is ideal for feeding a crowd, served with a simple side salad"
138,greek-recipes,greek-lamb-potatoes-olives,Entertain the easy way with this quick-to-prepare rustic one-pot - just serve with crusty bread
139,greek-recipes,flaounes,Enjoy these flaounes – cheese-filled pastries that are an Easter tradition for Greek-Cypriots – at any time of day alongside a cup of tea
140,greek-recipes,spicy-lamb-feta-skewers-greek-brown-rice-salad,"Kofta-style kebabs with feta, harissa and onion, served with a wholesome basmati rice flavoured with parsley and mint"
141,greek-recipes,spiced-chicken-skewers-chopped-salad-flatbreads,"Marinate chicken in yogurt, spices and lemon zest, then grill to make these flavourful chicken skewers. Serve in flatbreads with salad and cucumber yogurt"
142,greek-recipes,greek-lamb-meatballs,"Prep these comforting Greek lamb meatballs with chargrilled veg and potatoes in just five minutes. A guaranteed family favourite, perfect for busy weeknights"
143,greek-recipes,lamb-burgers-tzatziki,"Homemade burgers are always a winner - try this low-calorie, Greek spin with cucumber and mint yogurt and spicy patties"
144,greek-recipes,griddled-chicken-quinoa-greek-salad,"A light dish of grilled chicken fillets and authentic salad with Kalamata olives, feta cheese, tomato and mint"
145,greek-recipes,greek-lamb-macaroni-bake,"A cross between moussaka and macaroni cheese, this thrifty Mediterranean pasta bake makes for a hearty meal"
146,greek-recipes,greek-beans-seared-lamb,"Braise butter beans or 'gigantes' with tomatoes, onion and garlic and serve with tender lamb fillet and crumbled feta cheese"
147,greek-recipes,marinated-feta-thyme-chilli-oil,"Pack salty Greek cheese into jars with olive oil, thyme, tomatoes, artichokes and olives - mop up the goodness with bread"
148,greek-recipes,barbecued-greek-lamb-tzatziki,"Follow our step-by-step guide to butterflying a leg of lamb, prepare with Greek flavours and roast or BBQ"
149,japanese-recipes,easy-japanese-okonomiyaki,"Try this Japanese savoury pancake, made with cabbage and chunks of pork belly. Okonomiyaki pancakes are a great way to use up leftovers"
150,japanese-recipes,spicy-peanut-butter-corn-ramen,"Make a warming noodle soup which is sure to pack a punch – it’s spicy, sweet, nutty and savoury all in one slurp! The fish sauce adds a subtle layer of umami"
151,japanese-recipes,fluffy-japanese-pancakes-2,"Whip up these fluffy pancakes and enjoy with your favourite toppings – butter, maple syrup, honey, fruit or whipped cream all work well"
152,japanese-recipes,japanese-ramen-noodle-soup,"Use chicken, ramen noodles, spinach, sweetcorn and eggs to make this warming soup, ideal for when you crave something comforting yet light and wholesome."
153,japanese-recipes,japanese-style-bento-box,"This Asian-inspired lunchbox with mackerel sushi, edamame beans and fresh fruit will keep you going all afternoon"
154,japanese-recipes,homemade-yakisoba-sauce,"Enjoy this versatile sauce with veg, meat, seafood or noodles – it can be mixed together in minutes"
155,japanese-recipes,pickled-ginger,Learn how to make your own pickled ginger to enjoy with sushi. It's easy and keeps in the fridge for a month – you can also add radishes for a pink hue
156,japanese-recipes,homemade-tonkatsu-sauce,"Make this Japanese-style barbecue sauce to serve with crispy tofu, katsu chicken or your favourite Japanese dishes – it's a great blend of sweet and savoury"
157,japanese-recipes,japanese-rice-gohan,"No Japanese meal is complete without gohan – fluffy, slightly sticky rice. Top this versatile food with pickles, spring onions, nori or katsuobushi flakes"
158,japanese-recipes,miso-soup,"Make your own miso soup with soft cubes of tofu, crunchy curls of seaweed and aromatic spring onions. Enjoy it as a starter or as a snack"
159,japanese-recipes,katsu-curry,"Make our easy katsu curry with options to adapt the recipe for vegetarian, vegan and gluten-free diets. You'll need chicken or tofu depending on your preference"
160,japanese-recipes,veggie-yaki-udon,"Pack in the veg with our flavour-packed Japanese-inspired yaki udon. It's healthy, takes just 25 minutes to make, and is low in fat and calories"
161,japanese-recipes,chuka-fu-shredded-cabbage,Make this shredded cabbage as a typical Japanese side dish. It offers a freshness to cut through the richness of tonkatsu or other fried Japanese dishes
162,japanese-recipes,tonkatsu-pork,"Rustle up a Japanese feast and try this succulent pork loin, coated, fried and drizzled with our easiest ever Tonkatsu sauce. Save leftovers to make katsudon"
163,japanese-recipes,veggie-okonomiyaki,"Supercharge your diet with this vegetarian okonomiyaki with eggs, cabbage, pak choi and spring onions. It makes a healthy, low calorie lunch option"
164,japanese-recipes,quick-sushi-bowl,"Serve this quick and easy sushi bowl when you're short on time midweek. It contains a tasty mix of salmon, sushi rice, carrot, radish and pickled red cabbage"
165,japanese-recipes,katsu-aubergine-noodles,"Use lentil noodles in this dish for extra protein, or swap for rice if you prefer. The ginger really makes the recipe, so don’t be tempted to use less"
166,japanese-recipes,japanese-katsudon,"Use up leftovers and provide a hearty meal with this tasty pork katsudon. Using our tonkatsu recipe, it's great to make the day after a Japanese feast"
167,japanese-recipes,smoked-salmon-avocado-sushi,"Fancy making sushi at home? This simple recipe makes 32 healthy little bites, ideal for lunch or served as canapés"
168,japanese-recipes,yakitori-chicken,"Enjoy this deliciously sticky chicken made with a sauce of soy, mirin, sake and sugar as part of an easy Japanese banquet. Serve on bamboo skewers"
169,japanese-recipes,goma-ae-japanese-greens,"Serve this flavour-packed side dish alongside a Japanese feast. Spinach and green beans are tossed in a dressing of soy, miso, mirin and sesame seeds"
170,japanese-recipes,miso-steak,Steak doesn't have to be a heavy meal - give it a Japanese-style marinade for a low-fat supper
171,japanese-recipes,rice-quinoa-prawn-sushi-bowl,"Do something different for dinner: top rice and quinoa with prawns, sweet potato, avocado and seaweed to make this stunning Japanese-inspired family dish"
172,japanese-recipes,katsu-pork-sticky-rice,"Breadcrumb your pork fillet with panko, Japanese style, then serve with a sweet, spicy, light curry sauce and sushi rice"
173,katsu-curry-recipes,chicken-katsu-curry,"This healthier katsu is coated in finely chopped flaked almonds and baked in the oven (rather than fried) until crisp and golden. If you're following the Healthy Diet Plan, this a great dish to add to your repertoire"
175,katsu-curry-recipes,chicken-katsu-curry-burger,"Your favourite Japanese curry in burger form: this indulgent treat is a relaxed spin on traditional flavours, with a katsu curry mayonnaise to top the panko-coated chicken patty"
176,katsu-curry-recipes,next-level-chicken-katsu-curry,"Make this Japanese-inspired dish of crunchy chicken and a rich, warmly spiced sauce. Our ultimate version is easy to make but packs plenty of flavour"
178,katsu-curry-recipes,aubergine-katsu-curry,Breadcrumb and shallow-fry aubergine slices for a Japanese style vegetarian dish - your new curry night favourite
179,katsu-curry-recipes,katsu-curry-wrap,"Your favourite katsu curry in wrap form, ready in minutes! This simple supper is full of flavour, golden brown chicken and needs just 4 ingredients"
180,katsu-curry-recipes,katsu-curry-sauce,Make our easy take on katsu curry sauce to take your midweek meal from bland to brilliant. Pour over crunchy chicken katsu or tofu for a filling family dinner
181,katsu-curry-recipes,cheats-katsu-curry,"Transform ready-made breaded chicken steaks into a speedy Japanese-style supper with a spicy, nutty curry sauce"
182,katsu-curry-recipes,chicken-katsu,Katsu is a Japanese method of breadcrumbing chicken- this version is served with a rich curry sauce
184,katsu-curry-recipes,lighter-chicken-katsu,Angela Nilsen makes this Japanese crumbed chicken dish with curry sauce healthier by using some clever swaps to slash the fat and calories
185,katsu-curry-recipes,katsu-sandos,Our cheat's Japanese katsu sando with crunchy slaw is the ultimate lunch treat. We love the combination of crispy chicken and soft white bread
186,katsu-curry-recipes,prawn-katsu-burgers,"A twist on the beloved fish finger sandwich with tasty, breadcrumbed prawn patty, chilli mayo and coleslaw - a marriage made in heaven"
187,katsu-curry-recipes,chip-shop-curry-sauce,A homemade chip shop curry sauce will rival that of any takeaway – and it's not just for chips. You could use it to make katsu curry
188,scandinavian-recipes,scandi-smoked-mackerel-rye,"Open sandwiches make a lovely light lunch or dinner - try topping dark rye bread with Scandinavian-style fish, crème fraîche and tomatoes"
189,scandinavian-recipes,scandi-trout-fennel-potato-salad,This low-calorie Scandinavian-style fish dish with a mustard and honey glaze is served with a light and creamy potato side
190,scandinavian-recipes,princess-cake,"This showstopping Scandinavian torte features layers of sponge cake with jam, custard and cream, all covered in green marzipan. Bake it for a special occasion or afternoon tea."
191,scandinavian-recipes,soused-mackerel-creme-fraiche-capers,James Martin's version of this authentic Scandinavian dish of 24 hour-marinated fish
192,scandinavian-recipes,scandi-salmon-pie,This savoury picnic slice can be assembled ready to cook up to a day before - practical and impressive!
193,scandinavian-recipes,super-quick-scandi-supper,"Whip up this stylish, Scandinavian platter and let your friends help themselves"
194,scandinavian-recipes,scandi-smoked-salmon-potatoes,"Inspired by gravadlax, these little bites with a fresh, fragrant sauce are a great appetizer"
195,scandinavian-recipes,scandi-salmon-salad,"A light and fresh fish dish dressed with a dill, parsley and mustard sauce- radishes and red onion give extra texture and flavour"
