Recipe_ID,Category,Recipe_Name,Preparation_Time,Cooking_Time,Image URL,Description,kcal,fat,saturates,carbs,sugars,fibre,protein,salt
21,american-recipes,american-pancakes,25 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-4564_11-4b83cd5.jpg?quality=90&resize=93,84","Easy, American-style, fluffy pancakes are great for feeding a crowd at breakfast or brunch. Top with something sweet like fruit, jam or syrup, or rashers of crispy bacon.",356,13,6,46,8,2,13,1.3
22,american-recipes,baby-back-ribs-carolina-baste,10 mins,3 hrs and 10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/baby-back-ribs-with-carolina-baste-726ca6d.jpg?quality=90&resize=556,505","This American pork rib recipe is sure to satisfy at a barbecue - roast until tender, then finish with a sticky glaze for melt-in-the-mouth meat",477,26,7,34,31,2,25,2.3
23,american-recipes,choc-chip-pecan-pie,1 hr,1 hr and 25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/choc-chip-pecan-pie-039f8f9.jpg?quality=90&resize=440,400",An indulgent chocolate and pecan treat with buttery pastry and a gooey filling everybody can get stuck into,773,50,18,67,45,6,9,0.5
24,british-recipes,mini-pork-pies-piccalilli,50 mins,38 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1273682_8-90eec9c.jpg?quality=90&resize=440,400","Hoel Levieil from London restaurant Frizzante shares this picnic-friendly pork pie recipe, which was voted our users’ favourite Jubilee recipe idea",0,0,0,0,0,0,0,0
25,british-recipes,herby-toad-hole,10 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-804456_11-019699a.jpg?quality=90&resize=440,400","This family favourite marries meaty sausages with robust herbs and traditional, comforting Yorkshire pudding",552,32,10,40,5,1,28,1.9
26,british-recipes,crispy-topped-cumberland-pie,45 mins,3 hrs,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-907451_11-59d7988.jpg?quality=90&resize=440,400","This crisp, potato-topped beef and vegetable pie is slow-cooked and inexpensive to make. It's a great family meal but smart enough for entertaining too.",486,21,9,41,8,4,34,1.8
27,british-recipes,sticky-toffee-pudding-traybake,35 mins,45 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Sticky-toffee-pudding-traybake-2f018cf.jpg?quality=90&resize=556,505","What's more inviting than a sticky toffee pudding? Our recipe delivers on expectations, with a lovely sticky sponge, true toffee flavour and a light sponge",592,34,18,64,49,3,6,0.9
28,british-recipes,great-british-breakfast-bap,5 mins,45 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/the-great-british-breakfast-bap-143d61b.jpg?quality=90&resize=440,400","Set yourself up for the day with a filling breakfast bap that features sausages, chips, bacon, beans and an egg to give you a big energy boost",612,26,7,64,7,9,25,2.3
29,british-recipes,cherry-almond-tarts,15 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-967701_11-8bcabdb.jpg?quality=90&resize=440,400",These mini bakewell bites combine pastry and cake are designed for making in batches and cooking from frozen,362,20,9,39,23,1,6,0.5
30,british-recipes,classic-summer-pudding,25 mins,5 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-967650_11-04eaa26.jpg?quality=90&resize=440,400","Celebrate gorgeous seasonal strawberries, raspberries, blackberries and redcurrants with this set basin brioche pud",369,7,5,68,43,6,7,0.9
31,british-recipes,roast-beef-caramelised-onion-gravy,30 mins,1 hr and 30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-954491_10-117cde4.jpg?quality=90&resize=440,400",Rare roast topside is the ultimate centrepiece - make it extra special with yeast extract and sweet onion gravy,591,28,11,13,3,1,72,1.2
32,british-recipes,roast-lamb-spring-herb-crumbs,20 mins,2 hrs,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-932451_11-6a529db.jpg?quality=90&resize=440,400",This iron-rich dish is ideal for a weekend with family and friends,532,30,12,18,5,2,45,0.6
33,british-recipes,no-fail-yorkies,5 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-954508_10-3376014.jpg?quality=90&resize=440,400","Perfect for mopping up gravy, these soft but crisp Yorkshire puddings will rise every time thanks to a great batter",130,5,1,17,2,1,5,0.9
34,british-recipes,st-clements-pie,1 hr,35 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-958519_11-fe1264d.jpg?quality=90&resize=440,400","A very British version of Key lime pie - an indulgent, creamy tart with tangy oranges and lemons",647,27,15,87,63,1,12,1.1
35,british-recipes,beef-ale-parsnip-pudding,20 mins,3 hrs and 30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-909460_10-ed5f17b.jpg?quality=90&resize=440,400",A traditional steak and ale pie with parsnips and suet pastry. Make the filling the night before then steam the pudding the following morning for Sunday lunch,1072,62,28,86,15,7,33,1.5
36,british-recipes,fat-rascals,20 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2022/08/Fat-Rascals-c7b49c8.jpg?quality=90&resize=556,505","Treat yourself to a Yorkshire classic with these fat rascals. Full of dried fruit and spices, they're a cheeky bit of fun to serve with a cup of tea",621,27,16,84,40,4,9,1.09
37,british-recipes,scampi-tartare-sauce,30 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-992451_11-63f25b6.jpg?quality=90&resize=440,400","Crispy beer battered langoustine or prawn tails with a mayo-based dip of gherkins, capers and herbs",991,40,6,116,4,6,36,1.5
38,british-recipes,easy-treacle-sponge,10 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-908547_11-e97e641.jpg?quality=90&resize=440,400","A simple baked version of this classic childhood pudding, with a zesty treacle sauce forming an irresistible puddle at the bottom",512,23,14,70.1,50,1,6,1
39,british-recipes,scotch-eggs,1 hr and 20 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1273686_8-c8522fd.jpg?quality=90&resize=440,400",A hidden layer of bacon makes this traditional scotch egg recipe extra special,590,41,12,27,2,1,30,2.49
40,british-recipes,rhubarb-pear-hazelnut-crumbles,15 mins,45 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-931487_11-6f7ad8d.jpg?quality=90&resize=440,400",Individual fruity puddings with a twist - try mixing chopped nuts with your crumble topping for extra crunch,430,24,10,49,35,6,5,0.5
41,british-recipes,lemon-thyme-butter-basted-roast-chicken-gravy,15 mins,1 hr and 40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-879457_12-8fcb951.jpg?quality=90&resize=440,400",Smoothing butter under the bird's skin helps to baste the chicken and herbs add a delicious flavour to the gravy,610,42,15,11,6,2,47,0.8
42,british-recipes,marzipan-eccles-tarts,50 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-838499_11-e921a02.jpg?quality=90&resize=440,400",This fun spin on the traditional Lancashire fruit cakes uses leftover marzipan to make irresistible individual pies,568,23,10,82,56,2,8,0.8
43,british-recipes,ultimate-makeover-steak-kidney-pie,30 mins,2 hrs and 15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-484486_11-bf11d12.jpg?quality=90&resize=440,400",The ultimate comfort dish gets a superhealthy makeover,373,14,5,28,7,3,33,0.42
44,british-recipes,british-pork-cassoulet,30 mins,35 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-4007_11-2c33fa1.jpg?quality=90&resize=440,400",No-nonsense hearty meal that needs little or no side dishes - a great family meal - by Gary Rhodes,911,60,22,38,16,8,58,7.5
45,british-recipes,no-fuss-shepherds-pie,15 mins,1 hr,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-928_11-aff69bd.jpg?quality=90&resize=93,84","A classic comfort food favourite, this shepherd's pie sees succulent lamb mince and veg topped with a fluffy layer of mashed potato",657,39,20,43.06,9,6,32,0.88
46,british-recipes,split-pea-green-pea-smoked-ham-soup,30 mins,3 hrs,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-494513_11-b822511.jpg?quality=90&resize=440,400","Make this stylish soup from John Torode, combining green peas and split peas with smoky pieces of shredded ham hock. Perfect for a starter or warming lunch",292,11,4,23,5,5,26,3.56
47,caribbean-recipes,rum-punch,5 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/rum-punch-5c8fd79.jpg?quality=90&resize=440,400",Shivi Ramoutar's recipe for this classic Caribbean cocktail combines sweet and sour flavours for a fruity weekend tipple,271,0,0,23,22,0,1,0
48,caribbean-recipes,jerk-turkey,15 mins,1 hr,"https://images.immediate.co.uk/production/volatile/sites/30/2022/10/Jerk-turkey-075178b.jpg?quality=90&resize=556,505","Try a Caribbean twist on a roast dinner with this jerk turkey. Serve with rice and peas, plus creamy coleslaw to balance the spiciness of the jerk marinade.",258,10,3,7,4,2,33,2.3
49,caribbean-recipes,caribbean-beef-patties,10 mins,50 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/caribbean-beef-patties-65b156c.jpg?quality=90&resize=440,400","Spice up beef mince with turmeric, thyme and hot pepper sauce before folding in shortcrust pastry for a tasty dinner or lunch",780,48,16,63,3,4,23,2
50,caribbean-recipes,sticky-jerk-salmon-mango-slaw,25 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/salmon_8-22d72a8.jpg?quality=90&resize=440,400","Serve chunky salmon fillets with a spicy Caribbean honey glaze on a homemade coleslaw with cabbage, red pepper, mango and coriander",402,19,3,26,25,5,33,0.4
51,caribbean-recipes,jerk-chicken-rice-peas,25 mins,45 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1047528_11-62a849b.jpg?quality=90&resize=440,400","The Jamaican marinade has many versions, but John Torode likes his super spicy with a dash of soy. Serve with coconut basmati rice",757,43,18,48,14,6,38,2.6
52,caribbean-recipes,jerk-sweet-potato-black-bean-curry,50 mins,45 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1173503_12-677f8cf.jpg?quality=90&resize=440,400","Serve your vegetable curry Caribbean style, flavoured with thyme, jerk seasoning and red peppers – great with rice and peas",209,3,1,39,14,7,6,0.7
53,caribbean-recipes,goat-curry,25 mins,3 hrs,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1047532_11-dd713ee.jpg?quality=90&resize=440,400",Cheap cuts like goat and mutton require slow-cooking in strong spices to tenderise - this one-pot is a taste sensation,574,31,4,20,8,9,48,3.5
54,caribbean-recipes,jamaican-saltfish-fritters,15 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2022/10/Jamaican-saltfish-fritters-f2555ad.jpg?quality=90&resize=556,505","Enjoy these flavourful saltfish fritters from experienced chef and sustainability champion Anthea Stephenson, from a recipe passed down by her mum Chichi",127,4,0.3,15,1,1,8,2
55,caribbean-recipes,jerk-beefburger-pineapple-relish-chips,15 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-901699_10-4aaee3a.jpg?quality=90&resize=440,400",Flavour your mince with Jamaican spices and serve up with a contrasting tropical chutney and fries,466,20,7,46,10,5,26,0.3
56,caribbean-recipes,spiced-glazed-pineapple-cinnamon-fromage-frais,10 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-229598_12-6f8e126.jpg?quality=90&resize=440,400",Try this tropical treat when you want to end a meal on a sweet note without too much effort or too many calories,159,3,1,31,30,2,5,0.1
57,caribbean-recipes,tropical-breakfast-smoothie,5 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-484466_11-fac2879.jpg?quality=90&resize=440,400","Start your day with this fruity blend of passion fruits, mango, orange and banana. It's a good source of vitamin C and provides 1 of your 5-a-day, too",189,1,0.1,37,35,10,4,0.1
58,caribbean-recipes,jerk-chicken-kebabs-mango-salsa,20 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-684518_11-ccdef89.jpg?quality=90&resize=440,400",A simple colourful way with chicken that is packed with goodness,263,5,1,19,17,4,37,0.3
59,caribbean-recipes,reggae-reggae-nachos,15 mins,25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-47753_11-d83df2a.jpg?quality=90&resize=440,400","These nachos are a great crowd-pleaser, perfect for sharing with friends over a cocktail",871,52,14,83,21,9,24,5.16
60,caribbean-recipes,simple-coconut-bean-soup,10 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-47743_10-1c4be35.jpg?quality=90&resize=440,400",This vegetarian meal in a bowl shows how something delicious can be made from mostly storecupboard ingredients,581,38,28,45,14,11,19,3.19
61,caribbean-recipes,natalies-trinidadian-fish-stew,40 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1992_11-96ab6e9.jpg?quality=90&resize=440,400",This dish of Caribbean sunshine is perfect for sharing with friend - make sure you marinate the fish in lemon and lime to get a really zingy taste,388,19,2,17,5,2,35,0.31
62,caribbean-recipes,hot-spicy-sweet-potatoes,15 mins,45 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1201703_11-18da70e.jpg?quality=90&resize=440,400",Tantalise your buds with hot and spicy sweet potatoes,132,8,1,16,0,2,1,0.08
63,caribbean-recipes,barbecued-plantains,10 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1662_12-7b44e5b.jpg?quality=90&resize=440,400",Cook perfect plantains by wrapping them in foil and barbecuing them. This Latin American relative of the banana is delicious in sweet and savoury dishes.,122,4,3,22,5,1,1,0.1
64,caribbean-recipes,jerk-pork-rice-beans,10 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-421_11-29de4f2.jpg?quality=90&resize=440,400","A speedy version of a Jamaican pork jerk favourite - loads of flavour, not too spicy",833,43,19,73,4,13,43,2.37
65,caribbean-recipes,sizzling-spare-ribs-bbq-sauce,5 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-963455_10-8e7562c.jpg?quality=90&resize=440,400","Some like it hot, so sizzle your ribs with BBQ sauce",484,22,8,32,28,0,33,3.09
66,caribbean-recipes,exotic-avocado-salad,20 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-381451_12-794c668.jpg?quality=90&resize=440,400","Savour sharp, sweet flavours in this exotic avocado salad",260,22,3,11,5,5,4,0.05
67,caribbean-recipes,jerk-pulled-pork-banana-salsa,1 hr,7 hrs,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pulled-pork-e3fc914.jpg?quality=90&resize=440,400",The perfect party sharing dish is spiced up with Caribbean seasoning and served with a fruity coarse salsa,822,28,9,88,34,8,52,2.4
68,caribbean-recipes,spicy-jerk-prawn-mango-tacos-coconut-dressing,15 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/tacos-a15b9e0.jpg?quality=90&resize=440,400","Use Caribbean-style jerk paste to marinade shellfish, then serve in crunchy corn tacos with a textured salad and light sauce",409,17,8,40,13,8,23,0.9
69,caribbean-recipes,sticky-jerk-brown-sugar-ribs-pineapple-rice,20 mins,2 hrs and 20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1309523_2-bb95d07.jpg?quality=90&resize=440,400",Stacks of pork ribs make an alternative to chicken in this Caribbean feast with sticky marinade and fruity basmati accompaniment,542,21,7,64,49,2,26,0.5
70,caribbean-recipes,jerk-spice-mix,5 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2013/06/jerk-seasoning-73dc876.jpg?quality=90&resize=556,505",This combination of Caribbean spices creates a sweet and fiery flavour - you can add Scotch bonnet chilli to make it super spicy,0,0,0,0,0,0,0,0
71,jerk-chicken-recipes,jerk-chicken,15 mins,50 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/jerk-chicken-f51736a.jpg?quality=90&resize=440,400",Succulent chicken thighs covered with jerk paste and simply roasted in the oven - perfect served with Caribbean rice & peas,271,20,8,2,1,1,21,0.7
74,jerk-chicken-recipes,jerk-chicken-burger,10 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/jerk_0-96b26cb.jpg?quality=90&resize=440,400","Flavour lean chicken with Jamaican-inspired spicy seasoning, griddle then and serve in a bread roll with mango, tomato, lettuce and sauce",417,9,2,45,11,4,38,1.2
75,jerk-chicken-recipes,jerk-chicken-pineapple-traybake,20 mins,1 hr,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/jerk-chicken-pineapple-traybake-97c5d95.jpg?quality=90&resize=440,400","A great chicken dish, full of flavour with jerk seasoning, pineapple and sweet potato, served with rice and black beans. Ideal for a family feast",617,18,4,77,18,9,32,4
76,jerk-chicken-recipes,jerk-chicken-mango-bowl,15 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/jerk-chicken-mango-bowl-54ca407.jpg?quality=90&resize=440,400",A fruity chicken salad with lentils and spice to make lunchtimes worth taking a break for,660,18,5,66,39,11,54,3.3
77,jerk-chicken-recipes,one-pan-jerk-roast-chicken,30 mins,2 hrs and 10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/one-pan-jerk-roast-chicken-68023cd.jpg?quality=90&resize=440,400","Add some spice to your Sunday lunch by marinating your bird, then use the juices to create a coconut veggie curry to serve alongside",651,35,16,37,15,8,43,0.6
78,jerk-chicken-recipes,jerk-pork-pineapple-skewers-black-beans-rice,10 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1011488_11-84671e7.jpg?quality=90&resize=440,400",Pop these healthy kebabs on a griddle or the BBQ – they're packed with Creole spices and are a lean treat,451,10,3,57,7,6,30,0.2
80,chinese-recipes,mushroom-mapo-tofu,10 mins,8 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2021/12/Mushroom-Mapo-Tofu-ab54c31.jpg?quality=90&resize=556,505",Enjoy this plant-based version of Chinese mapo tofu served with jasmine rice and steamed greens. Meaty shitake mushrooms and firm tofu make a great combo,233,13,2,11,4,4,16,2.83
81,chinese-recipes,sweet-sour-chicken,20 mins,45 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2010/02/Sweet-and-sour-chicken-bbd3783.jpg?quality=90&resize=556,505","Try an authentic version of this classic Chinese takeaway dish, with natural sweetness and a warm chilli flavour to spice things up",654,20,3,82,50,2,38,0.57
82,chinese-recipes,crispy-sesame-chicken,20 mins,25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/04/CrispySesameChicken-2967279.jpg?quality=90&resize=556,505","Love sweet and sour chicken? You’ll love this dish, with crispy chicken thigh pieces tossed in a sticky, sweet and savoury sauce",646,21,3,78,11,2,34,4.4
83,chinese-recipes,sichuan-chicken,20 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/06/Sichuan-chicken-7ad6cef.jpg?quality=90&resize=556,505","With succulent chicken, umami notes and fiery heat from Sichuan peppercorns and chillies, this will be a crowd-pleaser",443,28,4,15,4,3,32,1.88
84,chinese-recipes,orange-chicken,25 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/09/TakeawayOrangeChicken-9d84081.jpg?quality=90&resize=556,505","Serve crispy chicken fillets in a quick orange sauce, on a bed of shredded iceberg lettuce",379,11,1,47,10,2,23,0.44
85,chinese-recipes,air-fryer-salt-pepper-chicken,15 mins,32 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/12/Air-fryer-salt-and-pepper-chicken-433da3a.jpg?quality=90&resize=556,505","Make this salt and pepper chicken in your air fryer for an easy midweek meal for the whole family. Serve with rice, spring onions and soy sauce",206,10,2,9,7,3,20,1.2
86,chinese-recipes,slow-cooker-gochujang-short-ribs-with-apple-slaw,30 mins,5 hrs,"https://images.immediate.co.uk/production/volatile/sites/30/2022/11/Gochujang-short-ribs-3db1211.jpg?quality=90&resize=556,505","Tuck into gochujang short ribs for a comforting winter warmer. With slow-cooked tender, juicy meat and tangy apple slaw, it’s perfect for relaxed entertaining",803,62,25,26,19,3,34,1.9
